Nome,cargo,partido,estado,ocorrencia,descricao,status,processo
Ricardo Teobaldo,Deputado Federal,PODE,PE,Segredo de Justiça,[Segredo de Justiça. Não é possível se obter uma descrição],Em andamento,0003594-08.2015.8.17.0920 - TJ-PE - Comarca de Limoreiro (https://srv01.tjpe.jus.br/consultaprocessualunificada/processo/00035940820158170920)
Ricardo Teobaldo,Deputado Federal,PODE,PE,Segredo de Justiça,[Segredo de Justiça. Não é possível se obter uma descrição],Em andamento,0002787-85.2015.8.17.0920 - TJ-PE - Comarca de Limoreiro (https://srv01.tjpe.jus.br/consultaprocessualunificada/processo/00027878520158170920)
Ricardo Teobaldo,Deputado Federal,PODE,PE,Segredo de Justiça,[Segredo de Justiça. Não é possível se obter uma descrição],Em andamento,0001745-98.2015.8.17.0920 - TJ-PE - Comarca de Limoreiro (https://srv01.tjpe.jus.br/consultaprocessualunificada/processo/00017459820158170920)
Ricardo Teobaldo,Deputado Federal,PODE,PE,Segredo de Justiça,[Segredo de Justiça. Não é possível se obter uma descrição],Em andamento,0001700-94.2015.8.17.0920 - TJ-PE - Comarca de Limoreiro (https://srv01.tjpe.jus.br/consultaprocessualunificada/processo/00017009420158170920)
Ricardo Teobaldo,Deputado Federal,PODE,PE,Segredo de Justiça,[Segredo de Justiça. Não é possível se obter uma descrição],Em andamento,0000818-35.2015.8.17.0920 - TJ-PE - Comarca de Limoreiro (https://srv01.tjpe.jus.br/consultaprocessualunificada/processo/00008183520158170920)
Ricardo Teobaldo,Deputado Federal,PODE,PE,Segredo de Justiça,[Segredo de Justiça. Não é possível se obter uma descrição],Em andamento,0003241-02.2014.8.17.0920 - TJ-PE - Comarca de Limoreiro (https://srv01.tjpe.jus.br/consultaprocessualunificada/processo/00032410220148170920)
Ricardo Teobaldo,Deputado Federal,PODE,PE,Segredo de Justiça,[Segredo de Justiça. Não é possível se obter uma descrição],Em andamento,0002177-54.2014.8.17.0920 - TJ-PE - Comarca de Limoreiro (https://srv01.tjpe.jus.br/consultaprocessualunificada/processo/00021775420148170920)
Ricardo Teobaldo,Deputado Federal,PODE,PE,Segredo de Justiça,[Segredo de Justiça. Não é possível se obter uma descrição],Em andamento,0002198-64.2013.8.17.0920 - TJ-PE - Comarca de Limoreiro (https://srv01.tjpe.jus.br/consultaprocessualunificada/processo/00021986420138170920)
Ricardo Teobaldo,Deputado Federal,PODE,PE,Segredo de Justiça,[Segredo de Justiça. Não é possível se obter uma descrição],Em andamento,0000861-15.2017.8.17.2920 - TJ-PE - Comarca de Limoreiro (https://srv01.tjpe.jus.br/consultaprocessualunificada/processo/00008611520178172920)
Ricardo Teobaldo,Deputado Federal,PODE,PE,Segredo de Justiça,[Segredo de Justiça. Não é possível se obter uma descrição],Em andamento,0048349-41.2016.8.17.2001 - TJ-PE - Comarca de Limoreiro (https://srv01.tjpe.jus.br/consultaprocessualunificada/processo/00483494120168172001)
Roberto Rocha,Senador,PSDB,MA,Crime Eleitoral,Prestação de Contas - De Candidato,Em andamento,4610 - STF (http://portal.stf.jus.br/processos/detalhe.asp?incidente=5260979)
Roberto Balestra,Deputado Federal,PP,GO,Crime Eleitoral,"Teve rejeitada prestação de contas referente às eleições de 2006. O parlamentar entrou com recurso, mas decisão foi mantida: TSE - Agravo de instrumento n° 2963309.2007.600.0000.",Julgado,9994337-32.2006.6.09.0000 - TRE-GO (http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=2200242006&comboTribunal=go)
Roberto Britto,Deputado Federal,PP,BA,Apropriação Indébita,Trata-se de inquérito via do qual investigado o Deputado Federal Roberto Pereira de Britto pelos crimes de Apropriação Indébita previdenciária e sonegação de contribuições previdenciárias supostamente perpetrados à época em que Prefeito do Município de Jequié/BA,Em andamento,3876/2014 - STF (http://portal.stf.jus.br/processos/detalhe.asp?incidente=4594040)
